Site,Species,Species_control,Session,River,Site_ID,Date_of_Trap,Inv_status,IAS_%_Cover,Open_Inf,SR_flowering_per_10m,Unique_currently_flowering_100m,B_lucorum_agg,B_pratorum,B_pascuorum,B_hortorum,Sphecodes_spp,H_rubicudus,Lasioglossum_spp,Andrena_spp,Andrena_clarkella,Andrena_wilkella,Hylaeus_spp,Osmia_spp,Apis_mellifera,Rhingia_campestris,Helophilus_pendulus,Helophilus_hybridus,Helophilus_trivittatus,Melanostoma_scalare,Melanostoma_mellinum,Mallota_fuciformis,Eristalis_tenax,Eristalis_abusivus,Eristalis_pertinax,Eristalis_arbustorum,Eristalis_interruptus,Eristalis_horticola,Eristalis_intricarius,Chrysogaster_cemiteriorum,Meliscaeva_auricollis,Platycheirus_albimanus,Platycheirus_splendidus,Platycheirus_granditarsus,Platycheirus_scutatus,Platycheirus_podagratus,Platycheirus_tarsalis,Syrphus_ribesii,Syrphus_vitripennis,Neoascia_podagrica,Episyrphus_balteatus,Sericomyia_lappona,Sericomyia_silentis,Eupeodes_corollae,Eupeodes_latifasciatus,Eupeodes_luniger,Eupeodes_nitens,Myathropa_florea,Pipiza_fenestrata,Chalcosyrphus_nemorum,Baccha_elongata,Xylota_segnis
CAS3,GH,GH,B,Castle,CAS3nursery,05/07/2012,Invaded,31,6,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON5,GH,Control,A,Mon Blackwater,MON5newmills,13/06/2012,Native,0.5,41,4.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL1,GH,GH,B,Ballinderry,BAL1drummond,05/07/2012,Invaded,72.5,130,3.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL4,GH,Control,A,Ballinderry,BAL4balbridge,13/06/2012,Native,3.5,13,2.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAN3,GH,GH,B,Bann,BAN3bridge,03/07/2012,Invaded,85,74,3.9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS4,GH,GH,A,Castle,CAS 4drenagh,11/06/2012,Invaded,45.5,6,2.9,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS4,GH,GH,B,Castle,CAS 4drenagh,05/07/2012,Invaded,53,75,3.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON2,GH,Control,A,Mon Blackwater,MON2garlic,13/06/2012,Native,8,22,4.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL2,GH,GH,B,Ballinderry,BAL2ardtrea,05/07/2012,Invaded,42,78,3.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL4,GH,Control,B,Ballinderry,BAL4balbridge,05/07/2012,Native,3.5,9,2.8,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,38,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAN1,GH,Control,A,Bann,BAN1estate,11/06/2012,Native,6.5,63,3.8,3,8,1,0,0,1,5,1,1,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAN2,GH,GH,A,Bann,BAN2estate,11/06/2012,Invaded,62,100,4.1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAN2,GH,GH,B,Bann,BAN2estate,03/07/2012,Invaded,58,36,4.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS2,GH,Control,B,Castle,CAS2ballyavelin,05/07/2012,Native,0,55,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MON1,GH,Control,B,Mon Blackwater,MON1cattle,03/07/2012,Native,1.5,37,4.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON2,GH,Control,B,Mon Blackwater,MON2garlic,03/07/2012,Native,7,30,3.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON3,GH,GH,A,Mon Blackwater,MON3town,13/06/2012,Invaded,36,4,5.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON3,GH,GH,B,Mon Blackwater,MON3town,03/07/2012,Invaded,35,36,4.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON4,GH,GH,A,Mon Blackwater,MON4lane,13/06/2012,Invaded,45,18,3.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON4,GH,GH,B,Mon Blackwater,MON4lane,03/07/2012,Invaded,48,16,4.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON6,GH,GH,B,Mon Blackwater,MON6roadside,03/07/2012,Invaded,49,67,3.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL1,GH,GH,A,Ballinderry,BAL1drummond,13/06/2012,Invaded,73,18,3.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL2,GH,GH,A,Ballinderry,BAL2ardtrea,13/06/2012,Invaded,35,64,3.3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAN3,GH,GH,A,Bann,BAN3bridge,11/06/2012,Invaded,84,42,3.9,4,7,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAN4,GH,Control,A,Bann,BAN4bridge,11/06/2012,Native,3.5,98,2.9,4,7,0,0,0,0,3,1,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAN4,GH,Control,B,Bann,BAN4bridge,03/07/2012,Native,5,37,3.2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS1,GH,Control,B,Castle,CAS1ballyleagry,05/07/2012,Native,0,13,5.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS2,GH,Control,A,Castle,CAS2ballyavelin,11/06/2012,Native,0,50,3.7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON5,GH,Control,B,Mon Blackwater,MON5newmills,03/07/2012,Native,7,135,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAN1,GH,Control,B,Bann,BAN1estate,03/07/2012,Native,4,104,4.2,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS1,GH,Control,A,Castle,CAS1ballyleagry,11/06/2012,Native,0,30,7.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS3,GH,GH,A,Castle,CAS3nursery,11/06/2012,Invaded,35,54,3.7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MON6,GH,GH,A,Mon Blackwater,MON6roadside,13/06/2012,Invaded,57,31,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL3,GH,Control,A,Ballinderry,BAL3ford,13/06/2012,Native,2.5,92,6.7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAL3,GH,Control,B,Ballinderry,BAL3ford,05/07/2012,Native,2,300,7.4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MON1,GH,Control,A,Mon Blackwater,MON1cattle,13/06/2012,Native,2,58,4.9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
