Site,Species,Species_control,Session,River,Site_ID,Date_of_Trap,Inv_status,IAS_%_Cover,Open_Inf,SR_flowering_per_10m,Unique_currently_flowering_100m,B_lucorum_agg,B_pratorum,B_pascuorum,B_hortorum,Sphecodes_spp,H_rubicudus,Lasioglossum_spp,Andrena_spp,Andrena_clarkella,Andrena_wilkella,Hylaeus_spp,Osmia_spp,Apis_mellifera,Rhingia_campestris,Helophilus_pendulus,Helophilus_hybridus,Helophilus_trivittatus,Melanostoma_scalare,Melanostoma_mellinum,Mallota_fuciformis,Eristalis_tenax,Eristalis_abusivus,Eristalis_pertinax,Eristalis_arbustorum,Eristalis_interruptus,Eristalis_horticola,Eristalis_intricarius,Chrysogaster_cemiteriorum,Meliscaeva_auricollis,Platycheirus_albimanus,Platycheirus_splendidus,Platycheirus_granditarsus,Platycheirus_scutatus,Platycheirus_podagratus,Platycheirus_tarsalis,Syrphus_ribesii,Syrphus_vitripennis,Neoascia_podagrica,Episyrphus_balteatus,Sericomyia_lappona,Sericomyia_silentis,Eupeodes_corollae,Eupeodes_latifasciatus,Eupeodes_luniger,Eupeodes_nitens,Myathropa_florea,Pipiza_fenestrata,Chalcosyrphus_nemorum,Baccha_elongata,Xylota_segnis
COAL4,HB,Control,A,Coalisland,4USMoor,19/07/2013,Native,0,9,5.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL4,HB,Control,B,Coalisland,4USMoor,02/08/2013,Native,0,11,6.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ROE 3 ,HB,Control,B,Roe,3Carrick,31/07/2013,Native,0,14,3.8,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COAL3,HB,HB,A,Coalisland,3Wood,19/07/2013,Invaded,79.5,17,3.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAG3,HB,Control,A,Lagan,3Clement,19/07/2013,Native,5,17,3.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROE 3 ,HB,Control,A,Roe,3Carrick,17/07/2013,Native,0,34,4.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COAL2,HB,HB,A,Coalisland,2TowHigh,19/07/2013,Invaded,54,40,3.3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAG4,HB,HB,A,Lagan,4Meadows,19/07/2013,Invaded,72.5,55,2.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROE 1,HB,HB,A,Roe,1OCahans,17/07/2013,Invaded,35.5,56,4.1,7,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLEN 2,HB,Control,A,Glenmornan,2Water,17/07/2013,Native,0.5,58,3.9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROE 4,HB,HB,A,Roe,4Burnfoot,17/07/2013,Invaded,46.5,58,5.6,5,2,1,1,2,0,1,0,0,0,0,0,0,1,2,4,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GLEN 1,HB,HB,A,Glenmornan,1Cath,17/07/2013,Invaded,57,61,3.8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLEN 2,HB,Control,B,Glenmornan,2Water,31/07/2013,Native,1.5,61,3.3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COAL1,HB,Control,B,Coalisland,1DSHigh,02/08/2013,Native,0.5,69,5.3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
ROE 2,HB,Control,B,Roe,2Dogleap,31/07/2013,Native,0,74,5,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
COAL3,HB,HB,B,Coalisland,3Wood,02/08/2013,Invaded,77,83,4,3,0,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GLEN 1,HB,HB,B,Glenmornan,1Cath,31/07/2013,Invaded,68.5,91,3.6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
