Site,Species,Species_control,Session,River,Site_ID,Date_of_Trap,Inv_status,IAS_%_Cover,Open_Inf,SR_flowering_per_10m,Unique_currently_flowering_100m,B_lucorum_agg,B_pratorum,B_pascuorum,B_hortorum,Sphecodes_spp,H_rubicudus,Lasioglossum_spp,Andrena_spp,Andrena_clarkella,Andrena_wilkella,Hylaeus_spp,Osmia_spp,Apis_mellifera,Rhingia_campestris,Helophilus_pendulus,Helophilus_hybridus,Helophilus_trivittatus,Melanostoma_scalare,Melanostoma_mellinum,Mallota_fuciformis,Eristalis_tenax,Eristalis_abusivus,Eristalis_pertinax,Eristalis_arbustorum,Eristalis_interruptus,Eristalis_horticola,Eristalis_intricarius,Chrysogaster_cemiteriorum,Meliscaeva_auricollis,Platycheirus_albimanus,Platycheirus_splendidus,Platycheirus_granditarsus,Platycheirus_scutatus,Platycheirus_podagratus,Platycheirus_tarsalis,Syrphus_ribesii,Syrphus_vitripennis,Neoascia_podagrica,Episyrphus_balteatus,Sericomyia_lappona,Sericomyia_silentis,Eupeodes_corollae,Eupeodes_latifasciatus,Eupeodes_luniger,Eupeodes_nitens,Myathropa_florea,Pipiza_fenestrata,Chalcosyrphus_nemorum,Baccha_elongata,Xylota_segnis
1Burnfoot,JK,JK,A,Roe,1Burnfoot,21/08/2012,Invaded,63.5,35,4.1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1Burnfoot,JK,JK,B,Roe,1Burnfoot,12/09/2012,Invaded,62.5,420,3.9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,22,2,0,2,4,0,2,0,3,14,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1Dixon,JK,Control,A,Lagan,1Dixon,23/08/2012,Native,0,4,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1Dixon,JK,Control,B,Lagan,1Dixon,14/09/2012,Native,0,0,3.4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,171,1,0,10,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,2,0,1,0,1,0,0,0,0,0,0,0
1DSCamp,JK,Control,A,Faughan,1DSCampsie,21/08/2012,Native,0,21,2.2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1DSCamp,JK,Control,B,Faughan,1DSCampsie,12/09/2012,Native,0,0,2.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0,4,7,0,0,1,1,11,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1Milltown,JK,JK,A,Mon Blackwater,1Milltown,23/08/2012,Invaded,51,41,4.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Milltown,JK,JK,B,Mon Blackwater,1Milltown,14/09/2012,Invaded,48,257,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,167,5,0,0,0,0,13,0,4,33,7,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
2Carrick,JK,Control,A,Roe,2Carrick,21/08/2012,Native,4,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2Carrick,JK,Control,B,Roe,2Carrick,12/09/2012,Native,6,2,3.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,7,2,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
